,Plot,RegionName,AverageDBH,Density,DBH_CV,Shannon,shan_Broadleaf,PD,PD_Broadleaf,FDis,FD_Broadleaf,MAT,MAP,SoilThickness,HumusLayerThickness,LitterThickness,Altitude,AGC,Age,Group,MaxDBH
194,194,Shaoyang,9.040104167,3746.268657,39.43619226,1.172566937,0,462.763184,0,1.116850236,0,16.13194466,1441.766724,80,3,1,480,31.19430228,17,NA,21.55
195,195,Xiangtan,9.563636364,1388.059701,35.56251222,1.358626302,1.430349831,1152.412278,503.104172,1.524694591,1.959576955,18.60555458,1461.099976,80,1,2,73,13.53218655,13,NA,20.7
196,196,Huaihua,7.759574468,1104.477612,26.39834344,0.656166003,0,325.050028,0,0,0,16.27361107,1254.833374,30,1,2,640,4.765884866,15,1,12.2
197,197,Huaihua,15.14482759,1104.477612,43.88990317,0.989659967,0,451.872786,0,1.086222775,0,16.6930542,1271.300049,70,6,5,380,24.04538139,25,NA,29.2
198,198,Shaoyang,9.921568627,2044.776119,43.72487913,1.203503336,0.636514168,789.231969,135.912186,1.226572558,0,15.1291666,1536.533325,40,6,3,840,22.60776234,23,NA,25.45
199,199,Loudi,8.417575758,2805.970149,34.42372467,0.557351935,0,451.872786,0,0.268659415,0,16.81111145,1594.716675,60,1,2,440,24.34545705,25,NA,21.65
200,200,Shaoyang,11.79495798,2238.80597,34.37431246,1.042341906,0,776.922813,135.912186,1.158620497,0,15.57361126,1453.949951,90,10,5,610,39.77298011,20,NA,21.2
201,201,Shaoyang,11.84885057,2611.940299,33.36805954,0.668087935,0,451.872786,0,1.1576848,0,16.84305573,1399.349976,100,5,4,400,60.29752348,28,NA,22.1
202,202,Shaoyang,10.84705882,2029.850746,46.59553535,0.419232735,0,650.100056,135.912187,0.041923357,0,17.32777786,1433.650024,60,2,1,330,43.84029326,23,NA,23.85
203,203,Huaihua,15.35471698,1059.701493,32.93304816,1.226984321,0.673011667,892.708379,0,0.97679655,0,15.67638874,1302.966675,75,4,3,740,39.16270169,23,NA,28.2
204,204,Shaoyang,11.80987654,1388.059701,38.1428673,1.331943422,1.242453325,1081.350219,390.402976,1.47079085,2.185182789,16.54999924,1410.916626,60,6,4,360,29.34722547,27,NA,21.9
205,205,Shaoyang,12.43222222,1985.074627,35.19743188,1.248343332,0.809205473,899.327905,258.317278,1.1455701,1.033507345,16.04722214,1462.199951,70,5,2,700,39.93070113,23,NA,22.4
206,206,Shaoyang,8.946808511,2402.985075,30.12228904,0.846525204,0.900256051,899.327906,135.912187,0.504924957,0,17.86527824,1391.283325,90,5,3,260,22.47013802,28,NA,16.65
207,207,Huaihua,9.770760234,2835.820896,30.23809637,0.964698818,1.098612289,1035.240093,271.824374,1.12664556,1.309278675,15.42638874,1256.733276,70,3,4,760,34.30163141,19,NA,17.55
208,208,Shaoyang,9.261052632,1731.343284,40.39233963,0.556581412,0,451.872786,0,0.110305733,0,16.50416756,1427.716675,40,5,1,550,20.4283273,24,NA,20.8
209,209,Hengyang,12.01538462,2000,38.79994831,0.498753648,0.636514168,650.100056,135.912187,0.065731824,0,18.45972252,1452.716675,80,1,2,160,51.42385436,19,2,26.75
210,210,Shaoyang,10.35970149,3059.701493,34.69222929,1.18551339,0.297444941,1035.240092,394.229465,1.370266029,0.294480578,16.79305649,1409.483398,80,6,3,400,49.25613803,25,NA,21.33333333
211,211,Shaoyang,9.975609756,1985.074627,37.08609863,0.310526434,0,325.050028,0,0,0,17.02777863,1410.199951,50,6,1,400,30.24539406,20,NA,19.9
212,212,Shaoyang,9.737790698,2850.746269,30.9283263,0.723404006,0.562335145,900.65705,259.646423,0.547581789,1.065859288,17.26388931,1389.583374,100,2,3,310,35.87641115,25,NA,21.6
213,213,Shaoyang,12.51397849,1820.895522,44.61101315,1.135344102,1.044186848,1032.151571,395.55861,0.808045456,0.541229527,17.30277824,1392,100,5,4,320,46.24113061,34,NA,26.8
214,214,Shaoyang,11.53255814,1417.910448,25.43890536,0.313362274,0,325.050028,0,0,0,17.1222229,1395.783325,60,10,3,380,27.19598515,33,NA,19.5
215,215,Shaoyang,11.67553191,1970.149254,39.17107703,0.700890362,0,650.100056,135.912187,0.155444336,0,18.42499924,1420.18335,80,2,1,280,36.2601966,26,NA,21.8
216,216,Shaoyang,10.27959184,2298.507463,38.40960931,0.691714553,0,650.100056,135.912187,0.050814487,0,18.50138855,1417.31665,50,2,1,170,26.43915101,21,NA,19.1
217,217,Zhuzhou,13.16,179.1044776,44.39956304,1.329661349,0.636514168,786.012243,135.912187,1.694548487,0,18.32361221,1478.283325,35,1,1,140,5.346251034,5,NA,21
218,218,Huaihua,13.80652174,1567.164179,58.71140809,1.164037473,0.271189373,912.835001,135.912187,1.128968028,0,16.45694351,1285.883301,70,5,4,420,43.84220313,31,NA,36
